Key,English Text,Current German Translation,Suggested German Translation,Notes
Achievement,Achievement,Erfolg,Erfolg,already appropriate
Adventures,Adventures,Abenteuer,Abenteuer,already appropriate
Ahead of the Curve,Ahead of the Curve,Voraus der Kurve,Der Zeit voraus,too literal; replaced with idiomatic achievement title
Alchemy,Alchemy,Alchemie,Alchemie,already appropriate
Alliance,Alliance,Allianz,Allianz,already appropriate
Allied Races,Allied Races,Verbündete Völker,Verbündete Völker,already appropriate (official term)
Archeology,Archeology,Archäologie,Archäologie,already appropriate
Arena Mounts,Arena Mounts,Arenareittiere,Arena-Reittiere,more natural compound form
Argent Tournament,Argent Tournament,Argentumturnier,Argentumturnier,already appropriate (official term)
Assault: Uldum,Assault: Uldum,Angriff: Uldum,Angriff auf Uldum,used proper phrasing (‘auf Uldum’)
Assault: Vale of Eternal Blossoms,Assault: Vale of Eternal Blossoms,Angriff: Tal der Ewigen Blüten,Angriff auf das Tal der Ewigen Blüten,used proper phrasing with article
Azeroth Choppers,Azeroth Choppers,Azeroth Choppers,Azeroth Choppers,already appropriate (brand name)
BFA,BFA,BFA,BFA,already appropriate (acronym)
BMAH,BMAH,BMAH,BMAH,already appropriate (acronym)
Battle for Azeroth,Battle for Azeroth,Battle for Azeroth,Kampf um Azeroth,used in-game translation for expansion name
Blacksmith,Blacksmith,Schmiedekunst,Schmiedekunst,already appropriate (profession name)
Blizzard Store,Blizzard Store,Blizzard-Shop,Blizzard-Shop,already appropriate
Blood Elf,Blood Elf,Blutelf,Blutelf,already appropriate (race name)
Brawler's Guild,Brawler's Guild,Kampfgilde,Kampfgilde,already appropriate (feature name)
BrewFest,BrewFest,Braufest,Braufest,already appropriate (event name)
Brewfest,Brewfest,Braufest,Braufest,already appropriate (event name)
CATA,CATA,CATA,CATA,already appropriate (acronym)
Cataclysm,Cataclysm,Cataclysm,Cataclysm,already appropriate (expansion name)
Cenarion Expedition,Cenarion Expedition,Cenarische Expedition,Cenarische Expedition,already appropriate (faction name)
Challenge Mode,Challenge Mode,Herausforderungsmodus,Herausforderungsmodus,already appropriate
Class,Class,Klasse,Klasse,already appropriate
Classic,Classic,Classic,Classic,already appropriate (name)
Collector's Edition,Collector's Edition,Sammel-Edition,Sammleredition,too literal; used common German term
Covenant Feature,Covenant Feature,Pakt-Feature,Paktfunktion,avoid literal “Feature”; used a German term
Daily Activities,Daily Activities,Tägliche Aktivitäten,Tägliche Aktivitäten,already appropriate
Dark Iron Dwarf,Dark Iron Dwarf,Dunkeleisenzwerg,Dunkeleisenzwerg,already appropriate (race name)
Darkmoon Faire,Darkmoon Faire,Dunkelmond-Jahrmarkt,Dunkelmond-Jahrmarkt,already appropriate (event name)
Delves,Delves,Stollen,Erkundungen,original translation too literal (“Stollen”); suggested a more fitting term
Demon Hunter,Demon Hunter,Dämonenjäger,Dämonenjäger,already appropriate (class name)
Diablo IV,Diablo IV,Diablo IV,Diablo IV,already appropriate (title)
Dracthyr,Dracthyr,Dracthyr,Dracthyr,already appropriate (race name)
Draenei,Draenei,Draenei,Draenei,already appropriate (race name)
Dragon Riding,Dragon Riding,Drachenreiten,Drachenreiten,already appropriate
Dragonflight,Dragonflight,Dragonflight,Dragonflight,already appropriate (expansion name)
Dubloons,Dubloons,Dublonen,Dublonen,already appropriate (currency name)
Dungeon,Dungeon,Dungeon,Dungeon,already appropriate (common term)
Dungeon Drop,Dungeon Drop,Dungeon-Beute,Dungeon-Beute,already appropriate
Dwarf,Dwarf,Zwerg,Zwerg,already appropriate (race name)
Engineering,Engineering,Ingenieurskunst,Ingenieurskunst,already appropriate (profession name)
Exalted Reputations,Exalted Reputations,Ehrfürchtige Rufstufen,Ehrfürchtige Rufstufen,already appropriate (in-game phrasing)
Fishing,Fishing,Angeln,Angeln,already appropriate (profession name)
Fishing Shack,Fishing Shack,Angelhütte,Angelhütte,already appropriate (building name)
Garrison,Garrison,Garnison,Garnison,already appropriate
Gladiator,Gladiator,Gladiator,Gladiator,already appropriate (title/category)
Gnome,Gnome,Gnom,Gnom,already appropriate (race name)
